imdb_id,poster_path,wiki_link,original_title,tag
tt8291224,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/URI_-_New_poster.jpg/220px-URI_-_New_poster.jpg,https://en.wikipedia.org/wiki/Uri:_The_Surgical_Strike,Uri: The Surgical Strike,action drama war vickykaushal pareshrawal mohitraina yamigautam kirtikulhari indian armi special forc execut a covert oper aveng the kill of fellow armi men at their base by a terrorist group.
tt9472208, ,https://en.wikipedia.org/wiki/Battalion_609,Battalion 609,war vickyahuja shoaibibrahim shrikantkamat elenakazan vishwaskini the stori of battalion 609 revolv around a cricket match between the indian armi and the pakistan armi gone wrong and narrat the tale of the brave soldier of battalion 609 put up a fight with the mighti taliban.
tt6986710,https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/The_Accidental_Prime_Minister_film.jpg/220px-The_Accidental_Prime_Minister_film.jpg,https://en.wikipedia.org/wiki/The_Accidental_Prime_Minister_(film),The Accidental Prime Minister,biography drama anupamkher akshayekhanna aahanakumra atulsharma manojanand explor manmohan singh' tenur as the prime minist of india and the kind of control he had over the cabinet and the country.
tt8108208,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Why_Cheat_India_poster.jpg/220px-Why_Cheat_India_poster.jpg,https://en.wikipedia.org/wiki/Why_Cheat_India,Why Cheat India,crime drama emraanhashmi shreyadhanwanthary snighdadeepchatterji navneetsrivastava nandayadav the movi focus on exist malpractic in country' educ system the whole concept of buy your way through educ job and earnings. even with an evolv educ system ...
tt6028796, ,https://en.wikipedia.org/wiki/Evening_Shadows,Evening Shadows,drama monaambegaonkar ananthnarayanmahadevan devanshdoshi arpitchaudhary yaminisingh under the 'even shadows' truth often play hide and seek. set in south india and mumbai 'even shadows' is a tender heartwarm stori about a mother-son bond that ha to withstand the ravag of time distanc and truths.
tt6078866,https://upload.wikimedia.org/wikipedia/en/thumb/d/de/Soni_India_Netflix_Movie_Poster.jpg/220px-Soni_India_Netflix_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Soni_(film),Soni,drama geetikavidyaohlyan salonibatra vikasshukla mohitchauhan himanshukohli while fight crime against women in delhi a short-fus policewoman and her level-head femal boss grappl with gender issu in their own lives.
tt5013008,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Fraud_Saiyyan_film_poster.jpg/220px-Fraud_Saiyyan_film_poster.jpg,https://en.wikipedia.org/wiki/Fraud_Saiyaan,Fraud Saiyyan,comedy drama arshadwarsi saurabhshukla florasaini saraloren varunbadola fraud saiyyan is the stori of a con artist in north india who convinc women to marri him just so he can live off their money.
tt4971258,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Bombairiya_poster.jpg/220px-Bombairiya_poster.jpg,https://en.wikipedia.org/wiki/Bombairiya,Bombairiya,comedy crime drama radhikaapte akshayoberoi siddhanthkapoor ravikishan adilhussain it follow the stori of meghna who get embroil in a seri of event after her phone get stolen.
tt6903440,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Manikarnika_Poster.jpg/220px-Manikarnika_Poster.jpg,https://en.wikipedia.org/wiki/Manikarnika:_The_Queen_of_Jhansi,Manikarnika: The Queen of Jhansi,action biography drama kanganaranaut rimisen atulkulkarni nalneeshneel dannydenzongpa stori of rani lakshmibai one of the lead figur of the indian rebellion of 1857 and her resist to the british rule.
tt7777196,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Thackeray_film_poster.jpeg/220px-Thackeray_film_poster.jpeg,https://en.wikipedia.org/wiki/Thackeray_(film),Thackeray,biography drama nawazuddinsiddiqui amritarao abdulquadiramin sanjaynarvekar prakashbelawadi biograph account of shiv sena supremo balasaheb thackeray.
tt8396186,https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Amavas_official_poster.jpg/220px-Amavas_official_poster.jpg,https://en.wikipedia.org/wiki/Amavas,Amavas,horror thriller aliasgar vivanbhatena nargisfakhri sachiinjoshi shabnamkarimzada the live of a coupl turn into a nightmar as dark forc lie in wait beneath the shadow of the haunt bungalow in which they have decid to stay.
